sourcePlayerId,sleeperId,blackbirdPlayerId,playerName,normalizedName,position,normalizedPosition,team,status,active,searchRank,yearsExperience,college,age,birthDate,height,weight,candidateNflversePlayerIds,candidateNames,candidateTeams,candidatePositions,matchConfidence,matchReasons,conflictReasons,recommendedAction,reviewPriority
2557,2557,,Jerry Lovelocke,jerry lovelocke,QB,QB,,Active,true,9999999,10,Prairie View A&M,32,1992-10-08,77,200,,,,,unmatched,,,provider_missing_id,P3
2561,2561,,Anthony Boone,anthony boone,QB,QB,,Active,true,9999999,11,Duke,34,1991-10-29,72,225,,,,,unmatched,,,provider_missing_id,P3
2565,2565,,Jean Sifrin,jean sifrin,TE,TE,,Active,true,9999999,1,UMass,38,1987-07-23,77,245,,,,,unmatched,,,provider_missing_id,P3
2567,2567,,Bryan Bennett,bryan bennett,QB,QB,,Active,true,9999999,10,Southeastern Louisiana,32,1992-03-06,74,215,,,,,unmatched,,,provider_missing_id,P3
2569,2569,,Jake Waters,jake waters,QB,QB,,Active,true,9999999,10,Kansas State,32,1992-03-20,73,210,,,,,unmatched,,,provider_missing_id,P3
2573,2573,,DaVaris Daniels,davaris daniels,WR,WR,,Active,true,9999999,10,Notre Dame,32,1992-12-18,73,201,,,,,unmatched,,,provider_missing_id,P3
2576,2576,,Cody Fajardo,cody fajardo,QB,QB,,Active,true,9999999,10,Nevada,32,1992-03-29,74,215,,,,,unmatched,,,provider_missing_id,P3
2577,2577,,Devante Davis,devante davis,WR,WR,,Active,true,9999999,10,UNLV,32,1992-10-13,75,215,,,,,unmatched,,,provider_missing_id,P3
2578,2578,,John Harris,john harris,WR,WR,,Active,true,9999999,10,Texas,,,74,218,HAR447512,John Harris,MIN,DB,unmatched,normalized full name match|height support,position mismatch: WR vs DB,manual_review_required,P3
2582,2582,,Cole Stoudt,cole stoudt,QB,QB,,Active,true,9999999,11,Clemson,33,1992-10-23,76,220,,,,,unmatched,,,provider_missing_id,P3
2597,2597,,Michael Dyer,michael dyer,RB,RB,,Active,true,9999999,10,Louisville,34,1990-10-13,69,220,,,,,unmatched,,,provider_missing_id,P3
2600,2600,,Ricky Seale,ricky seale,RB,RB,,Active,true,9999999,10,Stanford,33,1992-01-08,69,203,,,,,unmatched,,,provider_missing_id,P3
2607,2607,,Landon Feichter,landon feichter,DB,DB,,Active,true,9999999,10,Purdue,33,1991-08-22,71,201,,,,,unmatched,,,provider_missing_id,P3
2616,2616,,Jeremy Crayton,jeremy crayton,DB,DB,,Active,true,9999999,10,Southern Arkansas,,,73,190,,,,,unmatched,,,provider_missing_id,P3
2622,2622,,Warren Herring,warren herring,DL,DL,,Active,true,9999999,10,Wisconsin,33,1992-01-11,75,294,,,,,unmatched,,,provider_missing_id,P3
2628,2628,,Boris Anyama,boris anyama,LB,LB,,Active,true,9999999,10,Louisiana,33,1991-09-13,75,232,,,,,unmatched,,,provider_missing_id,P3
2629,2629,,Sam Meredith,sam meredith,DL,DL,,Active,true,9999999,10,San Diego State,32,1993-01-31,76,290,,,,,unmatched,,,provider_missing_id,P3
2632,2632,,Desmond Martin,desmond martin,RB,RB,,Active,true,9999999,10,Wayne State (MI),32,1992-03-20,72,221,,,,,unmatched,,,provider_missing_id,P3
2635,2635,,Vernon Johnson,vernon johnson,WR,WR,,Active,true,9999999,10,Texas A&M-Commerce,32,1992-04-17,73,190,,,,,unmatched,,,provider_missing_id,P3
2636,2636,,Jarred Haggins,jarred haggins,WR,WR,,Active,true,9999999,10,Florida State,33,1992-01-17,72,202,,,,,unmatched,,,provider_missing_id,P3
2641,2641,,Brian Suite,brian suite,DB,DB,,Active,true,9999999,10,Utah State,32,1992-04-21,74,206,,,,,unmatched,,,provider_missing_id,P3
2647,2647,,Dyshawn Davis,dyshawn davis,LB,LB,,Active,true,9999999,10,Syracuse,32,1992-07-14,73,225,,,,,unmatched,,,provider_missing_id,P3
2648,2648,,Tajh Hasson,tajh hasson,DB,DB,,Active,true,9999999,10,UNLV,32,1992-06-12,73,195,,,,,unmatched,,,provider_missing_id,P3
2650,2650,,Ty Long,ty long,K,K,,Active,true,568,7,UAB,29,1993-04-06,74,205,,,,,unmatched,,,provider_missing_id,P3
2651,2651,,Phillip Sims,phillip sims,QB,QB,,Active,true,9999999,10,Winston-Salem State,32,1992-08-15,76,210,,,,,unmatched,,,provider_missing_id,P3
2659,2659,,Manny Asprilla,manny asprilla,DB,DB,,Active,true,9999999,10,Boston College,31,1993-04-04,71,183,,,,,unmatched,,,provider_missing_id,P3
2662,2662,,Cameron Botticelli,cameron botticelli,DL,DL,,Active,true,9999999,10,Minnesota,33,1991-10-19,77,290,,,,,unmatched,,,provider_missing_id,P3
2674,2674,,Paul Browning,paul browning,WR,WR,,Active,true,9999999,10,CSU-Pueblo,32,1992-08-05,74,221,,,,,unmatched,,,provider_missing_id,P3
2681,2681,,Terry Redden,terry redden,DL,DL,,Active,true,9999999,10,Memphis,31,1993-08-23,74,295,,,,,unmatched,,,provider_missing_id,P3
2703,2703,,Ezell Ruffin,ezell ruffin,WR,WR,,Active,true,9999999,10,San Diego State,32,1992-03-17,73,210,,,,,unmatched,,,provider_missing_id,P3
2710,2710,,Donald Celiscar,donald celiscar,DB,DB,,Active,true,9999999,10,Western Michigan,33,1991-10-14,71,183,,,,,unmatched,,,provider_missing_id,P3
2713,2713,,Josh Harper,josh harper,WR,WR,,Active,true,9999999,10,Fresno State,33,1991-12-01,73,185,,,,,unmatched,,,provider_missing_id,P3
2725,2725,,Jimmy Jean,jimmy jean,DB,DB,,Active,true,9999999,10,UAB,35,1989-04-01,75,180,,,,,unmatched,,,provider_missing_id,P3
